id_punto,alcaldia,latitud,longitud,diagnostico
DS-0001,Azcapotzalco,19.436978024277984,-99.05531772460712,ok
DS-0002,Cuauhtémoc,19.269439219876027,-98.99543884531052,ok
DS-0004,Álvaro Obregón,19.39868401452968,-99.14854682992676,coordenadas_invertidas
DS-0005,Tlalpan,19.097088673943823,-99.14188995410376,ok
DS-0006,Miguel Hidalgo,19.53781117581838,-99.03005183569448,ok
DS-0007,Álvaro Obregón,19.430569850995177,-99.22421972330233,ok
DS-0008,Miguel Hidalgo,19.44303215263848,-99.01504705506196,signo_longitud
DS-0009,Tlalpan,19.11405681633777,-99.15234334139303,ok
DS-0010,Gustavo A. Madero,19.275192968947785,-99.30365731026588,ok
DS-0011,Álvaro Obregón,19.235399012116293,-99.3211763411708,ok
DS-0012,Coyoacán,19.513382494424302,-99.0132027155842,ok
DS-0013,Miguel Hidalgo,19.37193256004033,-99.32777283323723,ok
DS-0014,Venustiano Carranza,19.46138080663541,-99.23775542554654,ok
DS-0015,Gustavo A. Madero,19.271707099413668,-99.21634798379938,ok
DS-0016,Coyoacán,19.16361936089239,-99.28080222192337,coordenadas_invertidas
DS-0017,Álvaro Obregón,19.32729239350792,-99.2244426520792,ok
DS-0018,Tlalpan,19.081908628052087,-99.05292297330996,ok
DS-0019,Tlalpan,19.46381558599629,-99.34412686257596,ok
DS-0020,Álvaro Obregón,19.365832199561037,-99.01913063019173,ok
DS-0021,Coyoacán,19.429043870042687,-99.00738079057018,ok
DS-0022,Gustavo A. Madero,19.227262984064936,-99.20109537072338,coordenadas_invertidas
DS-0023,Gustavo A. Madero,19.53534901219745,-99.28855484037574,ok
DS-0024,Iztapalapa,19.4965605606611,-99.10966383682197,ok
DS-0025,Cuauhtémoc,19.43919174853688,-99.30213097765404,ok
DS-0026,Álvaro Obregón,19.147319353925983,-99.20403225556868,ok
DS-0029,Iztapalapa,19.12714474603377,-99.04115804345815,ok
DS-0030,Coyoacán,19.39152447662123,-99.22561539603169,coordenadas_invertidas
DS-0031,Iztapalapa,19.422381077953908,-99.07493398033355,ok
DS-0032,Miguel Hidalgo,19.533754866217105,-99.0678374538064,ok
DS-0033,Cuauhtémoc,19.21291267906908,-99.19486332193452,ok
DS-0034,Gustavo A. Madero,19.23522985301744,-99.09364454616554,ok
DS-0035,Venustiano Carranza,19.284777905637903,-99.34570894200972,ok
DS-0036,Azcapotzalco,19.144735679542144,-99.2663769365591,ok
DS-0037,Iztapalapa,19.114960752667734,-99.1399646788131,ok
DS-0038,Cuauhtémoc,19.28785246311297,-99.28449947829668,ok
DS-0039,Venustiano Carranza,19.163454674525443,-99.2836372528494,ok
DS-0040,Álvaro Obregón,19.384906997341258,-99.01547828377991,ok
DS-0041,Benito Juárez,19.268575959436166,-98.95434679892657,ok
DS-0042,Azcapotzalco,19.46633909802892,-99.12761222878862,ok
DS-0043,Tlalpan,19.400132551001125,-99.01437210764732,ok
DS-0045,Benito Juárez,19.4661299006976,-99.29336164457249,ok
DS-0046,Venustiano Carranza,19.4523821787484,-99.17070175469826,coordenadas_invertidas
DS-0047,Álvaro Obregón,19.24373918951509,-99.19297091366325,ok
DS-0048,Iztapalapa,19.194164051965124,-99.31798028654153,coordenadas_invertidas
DS-0049,Tlalpan,19.39124775198749,-99.0478679308821,ok
DS-0050,Gustavo A. Madero,19.11987624180465,-99.17648838907095,coordenadas_invertidas
DS-0051,Miguel Hidalgo,19.149954101237554,-99.16226922632384,signo_longitud
DS-0052,Coyoacán,19.053681134875504,-99.2897308104747,ok
DS-0053,Coyoacán,19.44346218875107,-99.27762933910763,ok
DS-0054,Venustiano Carranza,19.382425428296017,-98.98715855113753,ok
DS-0056,Coyoacán,19.440364515510986,-99.25685908602252,ok
DS-0057,Tlalpan,19.27945788776917,-99.2331762678742,ok
DS-0058,Tlalpan,19.33437059797645,-99.15392098303936,ok
DS-0059,Coyoacán,19.11989849906383,-99.11542193079408,ok
DS-0060,Álvaro Obregón,19.107265036767988,-99.15268400965974,ok
DS-0061,Azcapotzalco,19.38420148089524,-99.31635386617724,ok
DS-0062,Iztapalapa,19.28554810307157,-99.2525330183777,signo_longitud
DS-0063,Miguel Hidalgo,19.332618053240594,-99.012564646095,ok
DS-0064,Tlalpan,19.432499428708013,-99.0949645198086,ok
DS-0065,Iztapalapa,19.367359160000294,-99.09034037994628,ok
DS-0066,Iztapalapa,19.326789700329,-99.08191869785946,ok
DS-0067,Tlalpan,19.32960358037271,-99.04483879238418,ok
DS-0068,Venustiano Carranza,19.201975049031308,-99.3267566073114,ok
DS-0069,Coyoacán,19.06540891728397,-99.20335664602696,ok
DS-0070,Álvaro Obregón,19.268358694616182,-99.13418902589532,ok
DS-0071,Miguel Hidalgo,19.157292336409764,-99.21461740668109,ok
DS-0072,Gustavo A. Madero,19.25426432186232,-99.01220845068512,ok
DS-0073,Álvaro Obregón,19.476701536634085,-99.15697099656508,ok
