nombre,pixel_x,pixel_y,longitud,latitud
templo_mayor,612.0,479.5,-99.1317,19.4346
calzada_norte_tepeyac,612.0,179.8,-99.131,19.458
calzada_sur_iztapalapa,612.0,779.2,-99.1305,19.412
calzada_oeste_tacuba,269.3,479.5,-99.155,19.4335
calzada_este_texcoco,954.7,479.5,-99.108,19.435
orilla_NO,320.7,224.8,-99.15,19.452
orilla_NE,903.3,224.8,-99.112,19.452
orilla_SO,320.7,734.3,-99.15,19.418
orilla_SE,903.3,734.3,-99.112,19.418
plaza_mercado,538.6,499.5,-99.1365,19.433
acueducto_oeste,217.9,554.4,-99.162,19.425
orilla_norte_lago,612.0,79.9,-99.131,19.47
