estacion,afluencia_mes,key,NOMBRE,LINEA,lon,lat
Acatitla,485188,acatitla,Acatitla,A,-99.00567271685955,19.364717390396216
Aculco,257568,aculco,Aculco,08,-99.1077035934306,19.37321141061217
Agrícola Oriental,342267,agricolaoriental,Agrícola Oriental,A,-99.06956646430945,19.404618895931353
Allende,963536,allende,Allende,02,-99.13686784023699,19.43555800327121
Apatlaco,375183,apatlaco,Apatlaco,08,-99.10949014642031,19.3790998138262
Aquiles Serdán,394700,aquilesserdan,Aquiles Serdán,07,-99.19535232730325,19.49064014278564
Aragón,226250,aragon,Aragón,05,-99.09620515376837,19.451257588432135
Atlalilco,843113,atlalilco,Atlalilco,08,-99.10130942995006,19.35608448367419
Auditorio,975513,auditorio,Auditorio,07,-99.1920289044083,19.42576382554425
Autobuses del Norte,641490,autobusesdelnorte,Autobuses del Norte,05,-99.14065073858234,19.479070895908745
Balbuena,293156,balbuena,Balbuena,01,-99.10277436397425,19.42335533557525
Balderas,898593,balderas,Balderas,01,-99.14948115142849,19.426997876088905
Barranca del Muerto,1106768,barrancadelmuerto,Barranca del Muerto,07,-99.18926370689458,19.361501563286584
Bellas Artes,1395776,bellasartes,Bellas Artes,02,-99.14161363737124,19.436377755896043
Bondojito,193695,bondojito,Bondojito,04,-99.11197677850316,19.46463120134616
Bosque de Aragón,179378,bosquedearagon,Bosque de Aragón,B,-99.0692886960206,19.458094772963857
Boulevard Puerto Aéreo,632009,boulevardpuertoaereo,Boulevard Puerto Aéreo,01,-99.09625873241016,19.419941964850207
Buenavista,1576947,buenavista,Buenavista,B,-99.15235137742634,19.446185903359645
Calle 11,442663,calle11,Calle 11,12,-99.08587286436709,19.320471151871725
Camarones,420728,camarones,Camarones,07,-99.19003757146507,19.479111542683896
Canal de San Juan,398024,canaldesanjuan,Canal de San Juan,A,-99.05942280066026,19.39876293119974
Canal del Norte,260425,canaldelnorte,Canal del Norte,04,-99.11613305076399,19.448945007975038
Candelaria,944223,candelaria,Candelaria,01,-99.12090955005588,19.42954014071058
Centro Médico,1004314,centromedico,Centro Médico,03,-99.15513468952369,19.40745314744384
Cerro de la Estrella,341857,cerrodelaestrella,Cerro de la Estrella,08,-99.08561607648716,19.356047872500543
Chabacano,1164774,chabacano,Chabacano,02,-99.1356181172527,19.40917986927759
Chapultepec,1389515,chapultepec,Chapultepec,01,-99.17641673157046,19.42074629504737
Chilpancingo,1178006,chilpancingo,Chilpancingo,09,-99.16851936424604,19.405929858827395
Ciudad Azteca,1561343,ciudadazteca,Ciudad Azteca,B,-99.0275097173377,19.53451306511141
Ciudad Deportiva,224442,ciudaddeportiva,Ciudad Deportiva,09,-99.0912519463776,19.408433982240478
Colegio Militar,485305,colegiomilitar,Colegio Militar,02,-99.17177923331683,19.449273554997184
Constitución de 1917,3218128,constitucionde1917,Constitución de 1917,08,-99.06379884994618,19.345968405928243
Constituyentes,460378,constituyentes,Constituyentes,07,-99.19135185542875,19.411770866194253
Consulado,263533,consulado,Consulado,04,-99.11390384847114,19.45801819921654
Copilco,946798,copilco,Copilco,03,-99.17697359521604,19.33609927480332
Coyoacán,860922,coyoacan,Coyoacán,03,-99.17086152734286,19.361359077350073
Coyuya,831784,coyuya,Coyuya,08,-99.11348043121852,19.398302895714913
Cuatro Caminos,3281995,cuatrocaminos,Cuatro Caminos,02,-99.21584248969683,19.459593208492073
Cuauhtémoc,486458,cuauhtemoc,Cuauhtémoc,01,-99.15459795134981,19.4256611110838
Cuitláhuac,448184,cuitlahuac,Cuitláhuac,02,-99.18149576791224,19.457253889739235
Culhuacán,544579,culhuacan,Culhuacán,12,-99.10895874517293,19.336845611079582
Deportivo 18 de Marzo,938599,deportivo18demarzo,Deportivo 18 de Marzo,03,-99.12549791712465,19.485114151342465
Deportivo Oceanía,410993,deportivooceania,Deportivo Oceanía,B,-99.07933423067036,19.451011097259663
División del Norte,435931,divisiondelnorte,División del Norte,03,-99.1594791658047,19.379184435402276
Doctores,339955,doctores,Doctores,08,-99.14318940867469,19.421545611577116
Ecatepec,777910,ecatepec,Ecatepec,B,-99.0360693374375,19.515125082713773
Eduardo Molina,213510,eduardomolina,Eduardo Molina,05,-99.10529969848143,19.45139751377978
Eje Central,375491,ejecentral,Eje Central,12,-99.15142336147862,19.361341237938568
El Rosario,1435363,elrosario,El Rosario,06,-99.19976981622266,19.504630143602103
Ermita,738900,ermita,Ermita,02,-99.14290376152475,19.361979299764318
Escuadrón 201,616366,escuadron201,Escuadrón 201,08,-99.10948498429173,19.3648364116397
Etiopía/Plaza de la Transparencia,719132,etiopiaplazadelatransparencia,Etiopía/Plaza de la Transparencia,03,-99.15603141534933,19.395920531617364
Eugenia,373393,eugenia,Eugenia,03,-99.15720459756614,19.386168518115365
Ferrería/Arena Ciudad de México,605813,ferreriaarenaciudaddemexico,Ferrería/Arena Ciudad de México,06,-99.17415168259645,19.490673429052162
Fray Servando,314443,frayservando,Fray Servando,04,-99.12053345294457,19.421590266885172
Garibaldi/Lagunilla,770326,garibaldilagunilla,Garibaldi/Lagunilla,08,-99.13900441274583,19.444001288500854
General Anaya,674888,generalanaya,General Anaya,02,-99.14500636295455,19.353235914861184
Guelatao,564431,guelatao,Guelatao,A,-99.03565960069986,19.385153887463556
Guerrero,508176,guerrero,Guerrero,03,-99.14519334406981,19.44472633482843
Gómez Farias,760085,gomezfarias,Gomez Farías,01,-99.09021039171121,19.416478456907367
Hangares,148074,hangares,Hangares,05,-99.08813377459762,19.42434990786488
Hidalgo,1378957,hidalgo,Hidalgo,02,-99.14722340551585,19.43754674790357
Hospital 20 de Noviembre,314817,hospital20denoviembre,Hospital 20 de Noviembre,12,-99.17088446276829,19.37201337695184
Hospital General,528351,hospitalgeneral,Hospital General,03,-99.15324536177903,19.413758753579426
Impulsora,742043,impulsora,Impulsora,B,-99.0489571600943,19.485753223001417
Indios Verdes,2880997,indiosverdes,Indios Verdes,03,-99.11950993825916,19.495337618645664
Instituto del Petróleo,263957,institutodelpetroleo,Instituto del Petróleo,05,-99.14470974913316,19.489339309334294
Insurgentes,1136729,insurgentes,Insurgentes,01,-99.16328887947714,19.423651800607303
Insurgentes Sur,1069242,insurgentessur,Insurgentes Sur,12,-99.17825012925253,19.373553470227108
Isabel la Católica,520264,isabellacatolica,Isabel La Católica,01,-99.13783045646255,19.42639351179822
Iztacalco,542500,iztacalco,Iztacalco,08,-99.11211173088554,19.38828875746519
Iztapalapa,322591,iztapalapa,Iztapalapa,08,-99.09344907670477,19.3578249372119
Jamaica,631846,jamaica,Jamaica,04,-99.12174358812516,19.41091506041839
Juanacatlán,87304,juanacatlan,Juanacatlán,01,-99.18198382947882,19.4129516424911
Juárez,483131,juarez,Juárez,03,-99.14768330576317,19.43325034645042
La Paz,1333114,lapaz,La Paz,A,-98.96093725042675,19.350561572133337
La Raza,1245526,laraza,La Raza,03,-99.13950623022468,19.468880133789003
La Viga,231948,laviga,La Viga,08,-99.1262690624544,19.406709434404345
La Villa/Basílica,366133,lavillabasilica,La Villa/Basílica,06,-99.11836926186176,19.481735808267246
Lagunilla,630712,lagunilla,Lagunilla,B,-99.13023042923575,19.443220041827658
Lindavista,471670,lindavista,Lindavista,06,-99.135071417918,19.488112987791897
Lomas Estrella,312961,lomasestrella,Lomas Estrella,12,-99.09575048151491,19.322148856344057
Los Reyes,678183,losreyes,Los Reyes,A,-98.97686678250444,19.35903746198999
Lázaro Cárdenas,372867,lazarocardenas,Lázaro Cárdenas,09,-99.14462826288435,19.407218273838726
Martín Carrera,1430295,martincarrera,Martín Carrera,04,-99.10436947745445,19.4850441446716
Merced,1432906,merced,Merced,01,-99.12502541851761,19.42548757157406
Mexicaltzingo,520495,mexicaltzingo,Mexicaltzingo,12,-99.1231432322264,19.35776253608585
Miguel Ángel de Quevedo,1013517,miguelangeldequevedo,Miguel Ángel de Quevedo,03,-99.18075665564406,19.346251833085887
Misterios,227485,misterios,Misterios,05,-99.1302395703195,19.463112195663303
Mixcoac,1093544,mixcoac,Mixcoac,07,-99.18758241553665,19.37625650166226
Mixiuhca,674816,mixhiuca,Mixhiuca,09,-99.11296847676732,19.4083714401572
Moctezuma,646472,moctezuma,Moctezuma,01,-99.10979926910476,19.42685434666967
Morelos,396402,morelos,Morelos,04,-99.11815212250657,19.439664164892267
Múzquiz,842994,muzquiz,Múzquiz,B,-99.0420671972603,19.501490328356404
Nativitas,599454,nativitas,Nativitas,02,-99.14018788970765,19.37953276091363
Nezahualcóyotl,660813,nezahualcoyotl,Nezahualcóyotl,B,-99.05461333650334,19.472885633631996
Nopalera,758388,nopalera,Nopalera,12,-99.04599286885365,19.299957304889258
Normal,954213,normal,Normal,02,-99.16727403741045,19.44455770552456
Norte 45,166441,norte45,Norte 45,06,-99.16299035407454,19.488671413505823
Obrera,369657,obrera,Obrera,08,-99.14403796372382,19.413240376209362
Observatorio,469015,observatorio,Observatorio,01,-99.20040474604608,19.398282375699324
Oceanía,519191,oceania,Oceanía,05,-99.08687292405605,19.44502048612666
Olivos,523262,olivos,Olivos,12,-99.05951149501792,19.304321996002184
Olímpica,529991,olimpica,Olímpica,B,-99.03334249438895,19.521344934228452
Panteones,346782,panteones,Panteones,02,-99.20294912952721,19.458638560770133
Pantitlán,5211361,pantitlan,Pantitlán,01,-99.07473572701159,19.416334085596525
Parque de los Venados,333361,parquedelosvenados,Parque de los Venados,12,-99.15871771897177,19.37065883497745
Patriotismo,531408,patriotismo,Patriotismo,09,-99.1789225975409,19.40610899290181
Periférico Oriente,1092572,perifericooriente,Periferico Oriente,12,-99.07450575078416,19.317611568465104
Peñón viejo,407595,penonviejo,Peñón Viejo,A,-99.01705483641234,19.373305051789014
Pino Suárez,1988634,pinosuarez,Pino Suárez,01,-99.13263861199377,19.425923495107927
Plaza Aragón,580832,plazaaragon,Plaza Aragón,B,-99.03018454966082,19.528475893853724
Polanco,1081530,polanco,Polanco,07,-99.1909251080933,19.433553135623136
Politécnico,815108,politecnico,Politécnico,05,-99.14920599260093,19.50067869865116
Popotla,303201,popotla,Popotla,02,-99.17549381434115,19.452909219801555
Portales,632657,portales,Portales,02,-99.14157355491439,19.36992483866799
Potrero,445914,potrero,Potrero,03,-99.13201368299404,19.47719201148074
Puebla,819566,puebla,Puebla,09,-99.08238587967575,19.40719214298364
Refinería,298688,refineria,Refinería,07,-99.1905055272923,19.46947289434234
Revolución,855229,revolucion,Revolución,02,-99.15422782571336,19.439227179139703
Ricardo Flores Magón,177792,ricardofloresmagon,Ricardo Flores Magón,B,-99.10370874117547,19.43656537337327
Romero Rubio,434298,romerorubio,Romero Rubio,B,-99.09420167473102,19.440835354165493
Río de los Remedios,540197,riodelosremedios,Río de los Remedios,B,-99.04678664175502,19.490688675585073
Salto del Agua,900619,saltodelagua,Salto del Agua,01,-99.14340629386963,19.426948189741864
San Andrés Tomatlán,328663,sanandrestomatlan,San Andres Tomatlán,12,-99.1045158609058,19.32814547952075
San Antonio,375952,sanantonio,San Antonio,07,-99.18661355277949,19.38433767025257
San Antonio Abad,548976,sanantonioabad,San Antonio Abad,02,-99.13453987415669,19.41602164706914
San Cosme,677450,sancosme,San Cosme,02,-99.16066207280677,19.441904254426483
San Joaquín,790268,sanjoaquin,San Joaquín,07,-99.19176696408843,19.44500753968244
